Battery,Cycle,Capacity_Ah,SOH,AvgVoltage,MinVoltage,MaxVoltage,AvgCurrent,AvgTemp,MaxTemp,Duration,Re,Rct
B0005,1,1.8564874208181574,92.82437104090788,3.5298286688693397,2.612467347907089,4.191491807505295,-1.8187019641679727,32.572328114029,38.98218133148803,3690.234,,
B0005,2,1.846327249719927,92.31636248599635,3.5373201277859714,2.587208728940726,4.189773213846608,-1.8175598506612867,32.72523522519307,39.033397966787035,3672.344,,
B0005,3,1.8353491942234077,91.76745971117039,3.5437367282719,2.6519168938437794,4.188186735991303,-1.8164865418840956,32.64286193755933,38.818796689817404,3651.641,,
B0005,4,1.8352625275821128,91.76312637910564,3.5436661072601456,2.592947964776547,4.188461118855572,-1.8255891938692528,32.51487646204882,38.7623045063458,3631.563,,
B0005,5,1.8346455082120419,91.7322754106021,3.5423432526672167,2.547419651124539,4.188298524761055,-1.8261139590277586,32.38234901543077,38.66539257343368,3629.172,,
B0005,6,1.8356616600675495,91.78308300337747,3.5413347346347575,2.5209480504077413,4.188815807948604,-1.8168108743168803,32.43418218230641,38.75169504640032,3652.281,,
B0005,7,1.8351461429226603,91.75730714613302,3.5410250495075215,2.487927319492314,4.18839163793879,-1.816791144707133,32.480416444757985,38.8207012322275,3650.828,,
B0005,8,1.8257567905665537,91.28783952832768,3.554133296801584,2.6652049047458775,4.188927891511958,-1.8443412120754061,32.41046186109587,38.51713023385634,3572.453,,
B0005,9,1.8247738529891333,91.23869264945667,3.5529355991467955,2.6038584726333673,4.189029250882121,-1.853972745505648,32.3461408313,38.526267904657,3550.594,,
B0005,10,1.824613268496936,91.2306634248468,3.5512057319376997,2.552853984885676,4.189223427076418,-1.8535899338510957,32.27679750791685,38.52698128472781,3551.25,,
B0005,11,1.8246195526864504,91.23097763432251,3.549292319740949,2.4724483018527317,4.188916055911241,-1.863380178294828,32.15709350345252,38.54143406601644,3530.25,,
B0005,12,1.8142019357673917,90.71009678836958,3.559759220648976,2.64956413267546,4.189876247266316,-1.872968810287894,32.36407129853099,38.52197451768004,3491.016,,
B0005,13,1.8137521577549054,90.68760788774527,3.558081969139198,2.5724981777366227,4.189286794768804,-1.8826095043160833,32.3181954403762,38.582485834057856,3470.281,,
B0005,14,1.8134404914735822,90.67202457367911,3.555692244172496,2.5249886697730286,4.188837765892728,-1.882536787636365,32.15709029211502,38.520294134873915,3470.0,,
B0005,15,1.8025980036306504,90.12990018153252,3.562746818017503,2.694621861688723,4.189110301768517,-1.8817935155260215,32.04407000314609,38.21358592965045,3450.297,,
B0005,16,1.80210690024615,90.10534501230751,3.5614521756489204,2.64010141737067,4.18921207304098,-1.8921861285036712,31.931593674911532,38.1983618706913,3429.407,,
B0005,17,1.802579500826209,90.12897504131045,3.5603420474985823,2.5739035098380962,4.188899969428112,-1.9027629207037406,31.941655359029298,38.31926916027133,3409.484,,
B0005,18,1.8030683142834096,90.15341571417048,3.5591189041401865,2.4942396831720126,4.188779799856791,-1.9133470605822436,31.965008645476725,38.4787542519308,3390.422,,
B0005,19,1.8027776247196041,90.13888123598021,3.557886771846508,2.4556793246645583,4.189272591516219,-1.9131602105481538,31.966241678512723,38.54659017774874,3390.281,,
B0005,20,1.8470259949329193,92.35129974664596,3.5520375235511907,2.632142800798914,4.187614060563439,-1.8553455745575975,32.37143341978575,38.44749852224995,3591.734,0.04466870036616091,0.06945627304536996
B0005,21,1.847417311283644,92.3708655641822,3.5525668436897124,2.5027764692056795,4.1876287811083985,-1.8746995273150975,32.70024990461686,38.992275791716615,3552.297,0.044843430573346096,0.0679720560130687
B0005,22,1.8361774213478947,91.80887106739473,3.556794038327039,2.617507742871704,4.187447226312926,-1.873827212788385,32.32266411829938,38.51424197364312,3531.578,0.04510114851143001,0.06852832896000328
B0005,23,1.8257807475776242,91.2890373788812,3.5614100044534203,2.694074478000972,4.187344026387161,-1.883193546754683,31.98795810666763,38.165816144899125,3492.907,0.044172075577171746,0.06804449516996176
B0005,24,1.8251136435078368,91.25568217539184,3.5566107947817986,2.6237674644021887,4.187438187636325,-1.873239184822504,31.894456524691385,38.16526203587147,3511.594,0.043786628196075913,0.06845021227072765
B0005,25,1.8255815042203762,91.2790752110188,3.5586742170266272,2.5010798299873738,4.18774138117799,-1.9139593751505897,31.78039681801023,38.27549578575718,3431.9370000000054,0.04463932198878524,0.0683410113732366
B0005,26,1.8140311275083907,90.70155637541953,3.564103182686905,2.6849988185249796,4.188261122540052,-1.9030532722310995,31.688747146342205,37.982160799183106,3431.125,0.043558785775475374,0.06868237655872211
B0005,27,1.8147691941158939,90.7384597057947,3.559588063594272,2.547109116468133,4.187338767288234,-1.9134590742247914,31.596747992569153,38.11100191887773,3412.406,0.04526547818261783,0.0681437253042456
